id,position,category,company,city,salary_min,salary_max,education,experience,publish_date,source,description,is_active
37,飞控算法工程师,研发制造类,峰飞航空,北京,40,79,博士,5-10年,2026-03-20,拉勾,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
38,飞控算法工程师,研发制造类,大疆创新,南京,40,80,博士,3-5年,2026-01-01,猎聘,基于MATLAB/Simulink进行控制律设计与仿真验证,True
39,飞控算法工程师,研发制造类,星途智航,上海,42,83,本科,3-5年,2026-01-20,Boss直聘,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
40,飞控算法工程师,研发制造类,时的科技,广州,40,78,博士,3-5年,2026-01-24,拉勾,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
41,飞控算法工程师,研发制造类,中航无人机,西安,42,83,本科,3-5年,2026-02-13,Boss直聘,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
42,机载传感器工程师,研发制造类,时的科技,北京,26,59,硕士,5-10年,2026-03-15,猎聘,负责机载传感器选型、集成与标定，包括IMU、GPS、激光雷达、视觉传感器等,True
43,机载传感器工程师,研发制造类,大疆创新,北京,25,55,博士,3-5年,2026-04-27,企业官网,设计传感器融合方案，提升飞行器环境感知精度与可靠性,True
44,机载传感器工程师,研发制造类,亿维特,成都,25,56,硕士,5-10年,2026-03-06,拉勾,设计传感器融合方案，提升飞行器环境感知精度与可靠性,False
45,机载传感器工程师,研发制造类,华羽先翔,苏州,24,59,博士,5-10年,2026-02-15,企业官网,负责机载传感器选型、集成与标定，包括IMU、GPS、激光雷达、视觉传感器等,True
46,机载传感器工程师,研发制造类,峰飞航空,西安,23,53,硕士,1-3年,2026-04-27,猎聘,参与传感器数据的采集、处理与分析，支撑飞控与导航算法优化,True
47,机载传感器工程师,研发制造类,零重空间,广州,23,56,本科,3-5年,2026-03-13,Boss直聘,设计传感器融合方案，提升飞行器环境感知精度与可靠性,True
48,机载传感器工程师,研发制造类,时的科技,合肥,24,55,硕士,3-5年,2026-04-10,拉勾,设计传感器融合方案，提升飞行器环境感知精度与可靠性,True
49,机载传感器工程师,研发制造类,联合飞机,苏州,23,55,博士,3-5年,2026-03-22,拉勾,参与传感器数据的采集、处理与分析，支撑飞控与导航算法优化,True
50,机载传感器工程师,研发制造类,亿航智能,苏州,27,54,硕士,5-10年,2026-03-16,拉勾,负责机载传感器选型、集成与标定，包括IMU、GPS、激光雷达、视觉传感器等,True
51,机载传感器工程师,研发制造类,时的科技,合肥,26,54,硕士,1-3年,2026-04-12,Boss直聘,设计传感器融合方案，提升飞行器环境感知精度与可靠性,True
52,机载传感器工程师,研发制造类,华羽先翔,南京,26,54,本科,3-5年,2026-03-28,拉勾,参与传感器数据的采集、处理与分析，支撑飞控与导航算法优化,False
53,机载传感器工程师,研发制造类,亿维特,南京,23,54,本科,3-5年,2026-03-27,拉勾,参与传感器数据的采集、处理与分析，支撑飞控与导航算法优化,True
54,机载传感器工程师,研发制造类,零重力,苏州,26,59,本科,3-5年,2026-03-22,Boss直聘,负责机载传感器选型、集成与标定，包括IMU、GPS、激光雷达、视觉传感器等,True
55,机载传感器工程师,研发制造类,零重空间,深圳,23,53,硕士,3-5年,2026-02-03,猎聘,参与传感器数据的采集、处理与分析，支撑飞控与导航算法优化,True
56,自动飞行器工程师,研发制造类,迅蚁科技,北京,36,76,硕士,1-3年,2026-04-16,企业官网,牵头自动飞行系统集成测试，协调多团队联调联试,True
57,自动飞行器工程师,研发制造类,纵横股份,长沙,35,77,硕士,5-10年,2026-03-09,企业官网,参与自动飞行功能安全分析与符合性验证，支撑适航认证,True
58,自动飞行器工程师,研发制造类,沃兰特,合肥,34,77,硕士,3-5年,2026-01-26,拉勾,负责自动飞行器系统架构设计，涵盖自主起降、航线飞行、应急处理等场景,True
59,自动飞行器工程师,研发制造类,亿航智能,广州,33,73,本科,3-5年,2026-02-28,猎聘,参与自动飞行功能安全分析与符合性验证，支撑适航认证,False
60,自动飞行器工程师,研发制造类,中航无人机,北京,33,79,本科,5-10年,2026-01-20,拉勾,负责自动飞行器系统架构设计，涵盖自主起降、航线飞行、应急处理等场景,True
61,自动飞行器工程师,研发制造类,航天时代飞鹏,长沙,34,73,博士,5-10年,2026-04-20,拉勾,参与自动飞行功能安全分析与符合性验证，支撑适航认证,True
62,自动飞行器工程师,研发制造类,航天时代飞鹏,苏州,34,78,本科,5-10年,2026-03-09,猎聘,负责自动飞行器系统架构设计，涵盖自主起降、航线飞行、应急处理等场景,False
63,自动飞行器工程师,研发制造类,沃兰特,合肥,35,75,硕士,5-10年,2026-04-19,猎聘,参与自动飞行功能安全分析与符合性验证，支撑适航认证,True
64,自动飞行器工程师,研发制造类,联合飞机,苏州,34,78,硕士,3-5年,2026-01-18,企业官网,负责自动飞行器系统架构设计，涵盖自主起降、航线飞行、应急处理等场景,True
65,系统集成工程师,研发制造类,航天时代飞鹏,成都,29,64,硕士,1-3年,2026-04-21,猎聘,协调各专业团队解决集成过程中的接口与技术冲突,True
66,系统集成工程师,研发制造类,顺丰丰翼,苏州,29,61,本科,5-10年,2026-01-05,猎聘,负责飞行器航电系统、飞控系统、动力系统等各子系统的集成与联调,True
67,系统集成工程师,研发制造类,华羽先翔,广州,27,61,硕士,3-5年,2026-01-28,猎聘,负责飞行器航电系统、飞控系统、动力系统等各子系统的集成与联调,True
68,系统集成工程师,研发制造类,峰飞航空,南京,28,63,博士,5-10年,2026-02-16,Boss直聘,协调各专业团队解决集成过程中的接口与技术冲突,True
69,系统集成工程师,研发制造类,迅蚁科技,深圳,28,63,硕士,3-5年,2026-02-09,企业官网,制定系统集成测试方案与验收标准，输出系统集成报告,True
70,系统集成工程师,研发制造类,大疆创新,深圳,26,59,本科,3-5年,2026-02-14,拉勾,负责飞行器航电系统、飞控系统、动力系统等各子系统的集成与联调,True
71,试验测试工程师,研发制造类,联合飞机,长沙,18,49,本科,1-3年,2026-03-06,企业官网,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
72,试验测试工程师,研发制造类,天翎科,苏州,19,48,硕士,5-10年,2026-04-24,Boss直聘,分析测试数据，编制试验报告，提出改进建议,True
73,试验测试工程师,研发制造类,亿维特,广州,20,45,硕士,3-5年,2026-03-15,Boss直聘,分析测试数据，编制试验报告，提出改进建议,True
74,试验测试工程师,研发制造类,小鹏汇天,南京,20,47,博士,3-5年,2026-03-05,猎聘,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
75,试验测试工程师,研发制造类,顺丰丰翼,苏州,21,44,本科,1-3年,2026-03-10,猎聘,负责飞行器部件级、系统级及整机级试验方案设计与执行,True
76,试验测试工程师,研发制造类,沃兰特,上海,18,49,硕士,3-5年,2026-03-02,拉勾,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
77,试验测试工程师,研发制造类,亿维特,西安,18,48,硕士,3-5年,2026-03-05,拉勾,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
78,试验测试工程师,研发制造类,中航无人机,西安,18,47,硕士,1-3年,2026-01-21,拉勾,负责飞行器部件级、系统级及整机级试验方案设计与执行,False
79,试验测试工程师,研发制造类,亿航智能,成都,20,47,硕士,1-3年,2026-03-21,企业官网,负责飞行器部件级、系统级及整机级试验方案设计与执行,True
80,试验测试工程师,研发制造类,顺丰丰翼,长沙,20,49,博士,3-5年,2026-01-21,Boss直聘,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
81,试验测试工程师,研发制造类,迅蚁科技,上海,20,43,硕士,3-5年,2026-03-07,企业官网,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,False
82,试验测试工程师,研发制造类,小鹏汇天,苏州,20,48,硕士,1-3年,2026-02-26,Boss直聘,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
83,试验测试工程师,研发制造类,顺丰丰翼,苏州,18,45,硕士,5-10年,2026-01-02,拉勾,负责飞行器部件级、系统级及整机级试验方案设计与执行,True
84,试验测试工程师,研发制造类,时的科技,广州,19,45,硕士,5-10年,2026-04-27,Boss直聘,操作各类测试设备，完成结构强度、环境适应性、电磁兼容等测试,True
85,适航认证工程师,研发制造类,时的科技,广州,23,57,本科,3-5年,2026-02-20,Boss直聘,负责飞行器适航认证工作，编制适航符合性证明文件,True
86,适航认证工程师,研发制造类,纵横股份,苏州,25,56,硕士,3-5年,2026-01-15,猎聘,负责飞行器适航认证工作，编制适航符合性证明文件,True
87,适航认证工程师,研发制造类,天翎科,上海,25,53,本科,3-5年,2026-04-05,Boss直聘,跟踪适航法规动态，建立公司适航管理体系,True
88,适航认证工程师,研发制造类,御风未来,深圳,25,56,硕士,3-5年,2026-04-09,企业官网,跟踪适航法规动态，建立公司适航管理体系,True
89,适航认证工程师,研发制造类,御风未来,成都,27,58,硕士,3-5年,2026-02-19,拉勾,负责飞行器适航认证工作，编制适航符合性证明文件,False
90,适航认证工程师,研发制造类,零重空间,合肥,27,55,硕士,5-10年,2026-03-15,企业官网,跟踪适航法规动态，建立公司适航管理体系,True
91,适航认证工程师,研发制造类,华羽先翔,北京,26,55,硕士,1-3年,2026-01-06,Boss直聘,对接民航局适航审定机构，完成型号合格证(TC)申请与审查,True
92,适航认证工程师,研发制造类,纵横股份,上海,26,59,硕士,1-3年,2026-02-20,企业官网,跟踪适航法规动态，建立公司适航管理体系,True
93,适航认证工程师,研发制造类,大疆创新,西安,24,57,博士,3-5年,2026-04-23,猎聘,负责飞行器适航认证工作，编制适航符合性证明文件,True
94,适航认证工程师,研发制造类,顺丰丰翼,苏州,26,57,博士,5-10年,2026-03-21,Boss直聘,负责飞行器适航认证工作，编制适航符合性证明文件,True
95,适航认证工程师,研发制造类,顺丰丰翼,西安,26,59,本科,3-5年,2026-01-23,Boss直聘,负责飞行器适航认证工作，编制适航符合性证明文件,True
96,场景应用工程师,运营服务类,天翎科,成都,18,40,大专,1-3年,2026-04-19,拉勾,对接客户需求，输出场景应用解决方案与技术可行性分析,True
97,场景应用工程师,运营服务类,御风未来,长沙,19,38,硕士,3-5年,2026-01-31,拉勾,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
98,场景应用工程师,运营服务类,顺丰丰翼,上海,20,40,本科,3-5年,2026-01-16,Boss直聘,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
99,场景应用工程师,运营服务类,顺丰丰翼,苏州,18,39,本科,1-3年,2026-03-26,拉勾,对接客户需求，输出场景应用解决方案与技术可行性分析,True
100,场景应用工程师,运营服务类,亿维特,合肥,18,43,本科,5-10年,2026-01-04,拉勾,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
101,场景应用工程师,运营服务类,大疆创新,南京,18,41,硕士,3-5年,2026-02-11,猎聘,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
102,场景应用工程师,运营服务类,亿维特,北京,16,40,硕士,5-10年,2026-01-27,拉勾,参与场景试运行与效果评估，持续优化应用方案,True
103,场景应用工程师,运营服务类,零重空间,广州,20,39,大专,3-5年,2026-01-02,拉勾,参与场景试运行与效果评估，持续优化应用方案,True
104,场景应用工程师,运营服务类,纵横股份,苏州,20,44,硕士,1-3年,2026-01-29,拉勾,参与场景试运行与效果评估，持续优化应用方案,True
105,场景应用工程师,运营服务类,小鹏汇天,深圳,18,39,本科,5-10年,2026-03-07,Boss直聘,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
106,场景应用工程师,运营服务类,纵横股份,成都,16,40,大专,3-5年,2026-01-21,猎聘,对接客户需求，输出场景应用解决方案与技术可行性分析,True
107,场景应用工程师,运营服务类,时的科技,北京,18,44,本科,1-3年,2026-03-08,猎聘,参与场景试运行与效果评估，持续优化应用方案,True
108,场景应用工程师,运营服务类,亿航智能,长沙,18,40,本科,1-3年,2026-01-21,企业官网,参与场景试运行与效果评估，持续优化应用方案,True
109,场景应用工程师,运营服务类,零重力,北京,20,41,本科,5-10年,2026-03-10,拉勾,负责低空经济应用场景挖掘与方案设计，包括物流配送、应急救援、农业植保等,True
110,场景应用工程师,运营服务类,零重空间,长沙,18,39,本科,5-10年,2026-04-14,企业官网,参与场景试运行与效果评估，持续优化应用方案,True
111,航线规划师,运营服务类,御风未来,南京,14,38,大专,1-3年,2026-01-31,猎聘,使用GIS工具进行航线设计与可视化呈现，输出航线规划报告,True
112,航线规划师,运营服务类,沃兰特,长沙,16,36,硕士,3-5年,2026-02-06,拉勾,使用GIS工具进行航线设计与可视化呈现，输出航线规划报告,True
113,航线规划师,运营服务类,纵横股份,合肥,13,33,本科,3-5年,2026-03-03,拉勾,参与低空航线网络规划，支撑城市低空交通体系建设,True
114,航线规划师,运营服务类,大疆创新,广州,14,36,大专,3-5年,2026-03-21,拉勾,使用GIS工具进行航线设计与可视化呈现，输出航线规划报告,True
115,地面支持工程师,运营服务类,零重力,长沙,14,26,本科,3-5年,2026-03-14,猎聘,制定地面支持操作流程，培训地面操作人员,True
116,地面支持工程师,运营服务类,华羽先翔,广州,13,28,本科,1-3年,2026-03-11,拉勾,参与低空飞行服务站建设与运营维护,True
117,地面支持工程师,运营服务类,零重空间,成都,11,28,大专,3-5年,2026-04-20,猎聘,制定地面支持操作流程，培训地面操作人员,True
118,地面支持工程师,运营服务类,天翎科,西安,14,28,本科,1-3年,2026-02-03,猎聘,制定地面支持操作流程，培训地面操作人员,True
119,地面支持工程师,运营服务类,联合飞机,南京,12,27,本科,3-5年,2026-01-10,拉勾,制定地面支持操作流程，培训地面操作人员,True
120,地面支持工程师,运营服务类,时的科技,西安,12,31,本科,1-3年,2026-01-25,Boss直聘,负责低空飞行地面保障系统设计与运维，包括起降场通信、导航、监视设备,True
121,低空运维工程师,运营服务类,亿维特,合肥,13,30,大专,3-5年,2026-03-15,猎聘,管理备件库存，优化运维成本,True
122,低空运维工程师,运营服务类,大疆创新,苏州,13,30,本科,3-5年,2026-04-21,Boss直聘,监控飞行器运行状态，分析故障数据，制定预防性维护方案,True
123,低空运维工程师,运营服务类,星途智航,合肥,17,33,大专,3-5年,2026-03-10,Boss直聘,管理备件库存，优化运维成本,True
124,低空运维工程师,运营服务类,联合飞机,深圳,15,34,大专,1-3年,2026-03-26,企业官网,监控飞行器运行状态，分析故障数据，制定预防性维护方案,True
125,低空运维工程师,运营服务类,时的科技,成都,15,33,本科,1-3年,2026-04-25,拉勾,负责低空飞行器日常运维管理，制定维护保养计划与标准作业流程,True
126,无人机操控员,运营服务类,沃兰特,南京,10,19,本科,1-3年,2026-01-21,企业官网,记录飞行日志，提交飞行任务报告,True
127,无人机操控员,运营服务类,沃兰特,长沙,10,19,本科,1-3年,2026-01-06,企业官网,持有CAAC无人机驾驶员执照，熟练操作多旋翼/固定翼无人机,True
128,无人机操控员,运营服务类,星途智航,北京,8,19,本科,1-3年,2026-02-07,拉勾,持有CAAC无人机驾驶员执照，熟练操作多旋翼/固定翼无人机,True
129,无人机操控员,运营服务类,纵横股份,深圳,10,20,本科,1-3年,2026-04-12,Boss直聘,持有CAAC无人机驾驶员执照，熟练操作多旋翼/固定翼无人机,True
130,装调维修工程师,运营服务类,迅蚁科技,合肥,8,26,大专,1-3年,2026-02-28,Boss直聘,负责无人机及eVTOL的装配、调试与维修工作,True
131,装调维修工程师,运营服务类,顺丰丰翼,深圳,10,20,本科,1-3年,2026-03-23,猎聘,负责无人机及eVTOL的装配、调试与维修工作,True
132,装调维修工程师,运营服务类,大疆创新,深圳,10,26,大专,3-5年,2026-01-21,Boss直聘,诊断和排除飞行器系统故障，完成维修记录,True
133,装调维修工程师,运营服务类,美团无人机,北京,11,20,大专,1-3年,2026-01-07,拉勾,按照工艺文件完成整机装配与系统调试，确保装配质量,False
134,装调维修工程师,运营服务类,亿航智能,南京,10,21,大专,1-3年,2026-01-27,Boss直聘,诊断和排除飞行器系统故障，完成维修记录,False
135,装调维修工程师,运营服务类,时的科技,深圳,11,21,大专,1-3年,2026-01-02,Boss直聘,按照工艺文件完成整机装配与系统调试，确保装配质量,True
136,装调维修工程师,运营服务类,华羽先翔,南京,12,20,大专,1-3年,2026-01-03,猎聘,按照工艺文件完成整机装配与系统调试，确保装配质量,False
137,装调维修工程师,运营服务类,亿维特,合肥,12,25,本科,1-3年,2026-04-18,Boss直聘,负责无人机及eVTOL的装配、调试与维修工作,True
138,装调维修工程师,运营服务类,御风未来,上海,8,26,大专,3-5年,2026-04-23,企业官网,负责无人机及eVTOL的装配、调试与维修工作,True
139,装调维修工程师,运营服务类,迅蚁科技,长沙,11,20,本科,1-3年,2026-02-08,拉勾,按照工艺文件完成整机装配与系统调试，确保装配质量,True
140,装调维修工程师,运营服务类,小鹏汇天,南京,10,24,大专,1-3年,2026-01-09,Boss直聘,按照工艺文件完成整机装配与系统调试，确保装配质量,True
141,装调维修工程师,运营服务类,航天时代飞鹏,成都,11,22,本科,1-3年,2026-03-31,拉勾,按照工艺文件完成整机装配与系统调试，确保装配质量,True
142,装调维修工程师,运营服务类,航天时代飞鹏,合肥,11,25,大专,1-3年,2026-02-03,企业官网,按照工艺文件完成整机装配与系统调试，确保装配质量,True
143,装调维修工程师,运营服务类,顺丰丰翼,上海,8,24,本科,1-3年,2026-02-28,拉勾,按照工艺文件完成整机装配与系统调试，确保装配质量,True
144,空域动态监控工程师,安全监管类,美团无人机,广州,17,42,本科,3-5年,2026-01-26,Boss直聘,负责低空空域动态监控系统的运行维护，实时监控飞行态势,True
145,空域动态监控工程师,安全监管类,华羽先翔,深圳,19,38,本科,5-10年,2026-01-11,猎聘,负责低空空域动态监控系统的运行维护，实时监控飞行态势,False
146,空域动态监控工程师,安全监管类,亿航智能,成都,18,40,硕士,3-5年,2026-03-11,猎聘,参与低空交通管理系统开发与测试,False
147,空域动态监控工程师,安全监管类,华羽先翔,西安,16,39,硕士,1-3年,2026-01-31,猎聘,负责低空空域动态监控系统的运行维护，实时监控飞行态势,True
148,空域动态监控工程师,安全监管类,航天时代飞鹏,上海,18,40,本科,1-3年,2026-01-28,Boss直聘,处理空域冲突告警，协调飞行计划审批与空域调配,True
149,空域动态监控工程师,安全监管类,沃兰特,上海,20,39,本科,5-10年,2026-03-05,Boss直聘,参与低空交通管理系统开发与测试,True
150,空域动态监控工程师,安全监管类,中航无人机,北京,16,39,本科,1-3年,2026-04-07,猎聘,参与低空交通管理系统开发与测试,True
151,空域动态监控工程师,安全监管类,亿维特,南京,17,39,本科,3-5年,2026-01-30,拉勾,负责低空空域动态监控系统的运行维护，实时监控飞行态势,True
152,空域动态监控工程师,安全监管类,零重空间,深圳,20,40,本科,3-5年,2026-02-03,企业官网,参与低空交通管理系统开发与测试,True
153,空域动态监控工程师,安全监管类,纵横股份,北京,16,40,硕士,1-3年,2026-01-21,猎聘,参与低空交通管理系统开发与测试,True
154,低空网络安全工程师,安全监管类,中航无人机,长沙,26,58,本科,3-5年,2026-01-01,拉勾,参与低空网络安全标准制定与合规审计,True
155,低空网络安全工程师,安全监管类,时的科技,南京,24,56,本科,5-10年,2026-02-25,拉勾,参与低空网络安全标准制定与合规审计,True
156,低空网络安全工程师,安全监管类,时的科技,长沙,25,56,本科,5-10年,2026-01-09,Boss直聘,负责低空飞行器及地面系统的网络安全防护，包括通信链路加密、身份认证等,False
157,低空网络安全工程师,安全监管类,华羽先翔,广州,26,58,本科,3-5年,2026-02-24,企业官网,负责低空飞行器及地面系统的网络安全防护，包括通信链路加密、身份认证等,True
158,空域管理系统工程师,安全监管类,顺丰丰翼,苏州,18,46,本科,1-3年,2026-01-30,企业官网,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
159,空域管理系统工程师,安全监管类,亿航智能,北京,20,48,本科,3-5年,2026-03-29,猎聘,负责低空空域管理系统架构设计与开发，涵盖飞行计划管理、动态空域分配等,True
160,空域管理系统工程师,安全监管类,峰飞航空,北京,22,47,本科,3-5年,2026-03-27,Boss直聘,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
161,空域管理系统工程师,安全监管类,华羽先翔,合肥,21,43,本科,3-5年,2026-02-14,企业官网,对接空管部门，推动空域管理系统互联互通,True
162,空域管理系统工程师,安全监管类,顺丰丰翼,南京,18,44,硕士,5-10年,2026-02-24,猎聘,对接空管部门，推动空域管理系统互联互通,True
163,空域管理系统工程师,安全监管类,峰飞航空,广州,20,45,本科,3-5年,2026-02-06,企业官网,对接空管部门，推动空域管理系统互联互通,True
164,空域管理系统工程师,安全监管类,亿维特,西安,19,44,本科,1-3年,2026-03-06,Boss直聘,负责低空空域管理系统架构设计与开发，涵盖飞行计划管理、动态空域分配等,True
165,空域管理系统工程师,安全监管类,华羽先翔,成都,20,49,本科,3-5年,2026-03-02,拉勾,负责低空空域管理系统架构设计与开发，涵盖飞行计划管理、动态空域分配等,True
166,空域管理系统工程师,安全监管类,星途智航,深圳,20,46,本科,1-3年,2026-04-22,企业官网,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
167,空域管理系统工程师,安全监管类,联合飞机,成都,19,48,本科,3-5年,2026-04-29,企业官网,对接空管部门，推动空域管理系统互联互通,False
168,空域管理系统工程师,安全监管类,航天时代飞鹏,成都,20,49,本科,5-10年,2026-03-28,拉勾,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
169,空域管理系统工程师,安全监管类,零重空间,合肥,20,45,本科,5-10年,2026-03-03,猎聘,参与UTM（无人机交通管理）系统建设，支撑低空运行安全,True
